Date,Title,article 
"Mar 13, 2012, 05:12 IST","No vaccine yet for HIV/AIDS, says Nobel laureate"," , Delivering a lecture, “Science protects humanity: Adventures in infection and immunity” at IISc, Doherty said millions have been invested into HIV/AIDS research but there’s still no vaccine. “What we can definitely say is that vaccine research has been enormously revitalized __ it’s not just the money, but we have a better understanding of the immune system. Having said that, we are still some distance away from vaccines for particular infectious diseases.”, , Doherty said hope lies in a better understanding of certain viruses. “That’s why we were we able to stop SARS (severe acute respiratory syndrome) in time. It infected 8,000 people and around 10% of them died…” To that extent we have made an advance in science and understanding of medicine. Science is protecting us.” 
"
"Updated: Mar 18, 2012, 06:08 IST",Man suffers stigma in HIV test flip-flop,"BHUBANESWAR: After suffering stigma for a year for being diagnosed HIV positive, a man was found , earlier this week at the state-run ,. 

, “I was shunned by everybody, including the hospital staff, due to my HIV status. But after the test last week, they have started touching me again,” said Hadibandhu Sahoo, who has been undergoing treatment for a broken spine. , had tested HIV positive in April 2011 at Swami Vivekanad National Institute of Rehabilitation Training and Research, an institute of the Union ministry of social justice and empowerment in Cuttack district. 
,
, Sahoo, who is from Ghantapada village in Angul district, used to work as a security guard in a biscuit manufacturing company in Gujarat‘s Bhuj. He had broken his spine during the 2001 Gujarat earthquake and underwent a series of treatment at various health centres. His spine, however, refused to heal and he was finally admitted to the Vivekanad National Institute for treatment from April to June 2011, where he was diagnosed HIV positive. “I was discharged from the hospital in August and started a paan shop in Talcher with the help of the local ,. However, people who knew my HIV status would avoid the shop,” he said. 
,
, The 50-year-old wheelchair-bound man had to be admitted to Capital Hospital when he injured his back again recently after he slipped and fell while taking bath. In a fresh test conducted at the Integrated Counelling and Testing Centre (ICTC) at Capital Hospital, Sahoo was found to be HIV negative last week. 
,
, “The recent fall was a blessing in disguise for me. I have got a new lease of life after the fresh diagnosis. I had started cursing my life earlier,” said Sahoo , adding, “Now finally I am being treated as a normal person.” When contacted, the hospitals defended the test reports. 
,
, “We rely on the rapid test kits supplied by National AIDS Control Organisation, which has a margin of error,” said R N Mohanty, director in-charge of Vivekanad National Institute. Capital Hospital authorities said the ICTC test is a confirmatory test. 
,
, “I can’t comment about test done elsewhere but ICTC tests are regarded confirmatory. We will, however , look into the matter if something may have gone wrong,” said Capital Hospital spokesperson Dr S N Swain. Activists cautioned people to not get frustrated with rapid test kits. “Rapid test kits is not a confirmatory test. Confirmatory tests are done only at ICTCs,” said Pravasini Pradhan, president of Kalinga Network of Positive People. 
"
"Updated: Mar 20, 2012, 06:49 IST",Another thalassemic child contracts HIV," , Led by city Congress president Jaswantsinh Bhatti, Congress workers stormed the blood bank and smashed its glasses. Police had to be called in to bring the situation under control. Several Congress workers including Rajesh Chawda, Jalpesh Vaghela, Pravin Vadher, Rakesh Makwana, Ajit Luhar, Mavji Rakhshiya and Mukesh Parmar were arrested for vendalizing the blood bank., , Later, Congress spokesperson Aziz Ibrahim said that the victim, a child from a Dalit family suffering from thalassemia, had been undergoing blood transfusion at regular interval at the voluntary blood bank for the past two years., , “His poor parents had to shell out Rs 800 or more each time for the transfusion. Recently, the child health condition deteriorated and he was admitted to Rajkot Civil Hospital where he was diagnosed as HIV positive. When his family approached police commissioner, police and blood bank conducted HIV test on his mother which came negative. When senior officials from the state health department came for inspection, they were given five-star treatment and the matter was eventually swept under the rug,” said Ibrahim., , The Congress leaders said that they are determined to take the issue to its logical conclusion and will continue to agitate till the justice is done. 
"
"Updated: Mar 16, 2012, 07:14 IST",Angul man suffers unnecessary stigma in HIV test flip flop," 
, 
, 
, 
, 
, 
, 
, 
, 
"
"Updated: Mar 20, 2012, 06:13 IST",HIV+ but positive on having a child,"
  With the basics against , – early diagnosis and continued treatment - seemingly in place, Indian doctors are looking at sociological nuances associated with the condition. An ongoing study at JJ Hospital’s gynaecology department, for instance, is looking at fertility and reproductive desires of , people. 
  
  ,“We are studying if men and women who have been diagnosed with HIV/AIDS understand the emotional, social and financial implications of having a child,” said Dr Rekha Daver, who heads the gynaecology department. The fiveyear-long study, which is being done jointly with the Indian Council for Medical Research, started last year. The idea is to develop a better counselling mechanism for HIV-positive people. Incidentally, the National AIDS Control Organisation has recognised JJ Hospital’s gynaecology department as a Centre of Excellence in the Prevention of Parent to Child Transmission of HIV/AIDS programme. 
  ,
  ,“We have delivered 1,073 HIVpositive women in the last 11 years. We have also managed to control mother-to-child transmission of HIV to a great deal. In fact, of the last 100 deliveries, 95 children are free of the virus,’’ said Dr Daver. 
  ,
  ,Considering the number of HIVpositive people who come to ,, it’s not surprising that the fertility desire study is being done here. “The study involves hours of intense counselling, taking down notes and a check-up . We have finished interviewing around 20 people so far,’’ said Dr Daver. 
  ,
  ,She added patients usually say having a child is their ultimate dream. “Social pressure as well as the woman’s own mental makeup contributes to this decision,” said Dr Daver. Every pregnant woman who comes to JJ Hospital’s gynaecology department is counselled and voluntarily tested for HIV. They are informed of the risk of mother-to-child transmission of HIV and possibility of the children becoming AIDS orphans. “But many still want their biological babies,” she said.
  , 
  ,A Harvard University study a few years back noted that “spousal, family, community and cultural influences greatly shape HIV-positive women’s desire to become pregnant. Studies in India , South Africa, Taiwan and Vietnam have demonstrated the weight of culture-specific spousal and family wishes that a woman will need to consider besides her own desires and HIV status.” 
  ,
  ,Dr Daver added many HIV-positive women opt for pregnancy as they are worried about discrimination in society if they are childless. 
  ,
  ,“HIV-positive women have as much social problems as medical issues,’’ she said.
 "
"Updated: Mar 24, 2012, 00:51 IST",Economic survey 2011-12: HIV/AIDS cases on decline in state aids,"PANAJI: The number of people afflicted with ,, which was on the rise since the first case was reported in 1987, has slightly declined in recent years, ,. 

, The economic survey was released during the budget session of the legislative assembly. In 2007, a total of 109 persons, including 67 males and 42 females, were reported positive. The number of cases went up further to 115, with 88 males and 27 females testing positive in 2008. 
,
, In 2009, a total of 140 cases, including 91 males and 49 females were reported, but in 2010, the number declined to 89 including 60 males and 29 females. In 2011 (up to September), a total of 61 cases were reported. These included 38 males and 23 females, who tested positive. Dominic D’Souza, a regular blood donor was the first person to test positive in Goa. His case grabbed headlines for a few years till his death, as he was kept forcibly confined in a room at a tuberculosis sanatorium for 64 days. 
"
"Updated: Mar 21, 2012, 11:33 IST",Woman gives supari for killing HIV+ve lover,"NAGPUR: She wanted to get rid of the man diagnosed as HIV-positive as he was pestering her for sexual favours. The woman was afraid of being infected with the disease. Shunned by his wife, the man was desperate for sexual relief from his lover with whom he was in relationship for around three years. The mistress roped in three young neighbours with a promise to pay Rs 70,000 to eliminate the man for ever. 

, Deepak Purke, an attendant with the , branch in Ayodhya Nagar, was taken to a desolate place near Paunapur in the outskirts of the city on February 13 last month before being stabbed to death. The joint effort of the special squad of assistant commissioner of police RS Pawade and , saw the case being cracked with the help of the call details records. Four people, including the , Anita Chaudhari, have been arrested on Tuesday. 
,
, Along with Anita, the police have also arrested two brothers , and ,, and ,, all in their 20s, for the murder. The alleged assailants are residents of Lalganj. Head constable Sanjay Wankhede, Anil Karne and , of the special squad picked up the assailants. 
,
, Police said that Purke, father of two, entered into a relationship with Anita, a mother of three, even while he was having an affair with another woman. Anita's husband had passed away around five years ago. Purke did not have a cordial relation with his family members and often stayed out. He also stayed with Anita on a number of occasions at her place. 
,
, Police said that Anita was given a lot of money by Purke. She had also kept his bike. Soon, however, there was a breakdown in the relationship. Learning about Purke's relationship with Anita, his family member thrashed her. She reported the matter to the police and got Purke's parents and siblings booked for attempt to murder in 2010. 
,
, Police said Purke's health became the prime issue of discord between Anita and him. She contacted Kishore and sought his help in eliminating Purke. Kishore roped in Tejram and Mukesh. She even brought them to Shantinagar where Purke resided so that they could identity their victim. 
,
, It was the call details of the bank that gave police the first clue. Four suspicious mobile phone numbers cropped up before the police. Anita had initially said that she had only one SIM card. But police soon found out that she was possessing more than one. 
,
, PI , of Kalamna police station said one SIM was used to coordinate murder plot. Anita had also given a cellphone to Mukesh to coordinate the actions. 
,
, On the day of murder, Anita invited Purke to take his bike. Kishore took Purke as pillion and drove towards Kalamna after they met near Harihar temple. Mukesh and Tejram followed them on another bike. They convinced Purke that the bike was kept in a field near Paunapur where on reaching he was stabbed to death. 
,
, Police said that Mukesh was traced with the help of his girlfriend with whom he had being communicating regularly and had also gone for an outing the day after the murder. Anita apparently had paid only Rs 35,000 till date. Police have recovered the bike of the victim and other evidences. 
,
, 
, 
,
, Two of the four assailants, arrested for Pradeep Purke's murder, agreed to do the job as they wanted money for their sisters' wedding slated for later this year. Tejram and Mukesh Moundekar, who were apparently given Rs 12,000 each for the murder, were roped in by Kishore Katwe. They even spent the money on wedding-related expenses. 
"
"Updated: Mar 27, 2012, 04:21 IST","HIV patient kills wife, self","HYDERABAD: An HIV-positive person allegedly killed his wife and later committed suicide at Ghatkesar on Monday. Incidentally, his wife was also HIV-positive. 

, The victim, identified as Prabhavati, 35, of Annojiguda, was stabbed to death by her husband, ,, at their house on Sunday night when she was asleep. After stabbing her, he went to a nearby temple and consumed pesticide, Ghatkesar inspector G Sreeram Kumar said. 
,
, The couple, who hailed from ,, had three sons. Edukondalu, a ,, contracted HIV five years ago. After that he stopped going to work. His wife also contracted HIV but her health was normal. 
,
, 
"
"Updated: Mar 26, 2012, 03:23 IST",Medical expenses impoverishing families with HIV+ members: Study,"PUNE: The medical expenses incurred by families who have at least one HIV positive member are a serious strain on their finances, pushing many of them into a “poverty trap”. 

, This was revealed in a field survey of 401 such families in the city, undertaken by the Gokhale Institute of Politics and Economics (GIPE) to gauge the economic profile of People Living with HIV (PLHIV) and the socio-economic impact of HIV at the household level. 
,
, The families surveyed are registered with a city NGO, which works towards providing socio-psycho, legal support and counselling to PLHIV. Though the study included households from all strata of society, and from varied economic backgrounds, nearly 50% of the sample group was from the lower economic categories. The study was completed under the guidance of Sanjeevanee Mulay, former associate professor at GIPE. 
,
, Varun Sharma, who undertook the study, is a former senior research fellow at GIPE and currently assistant professor at the , (IHMR) in Bangalore. He said the study was an attempt to estimate the relationship between HIV prevalence and poverty. “We cannot overlook the fact that PLHIV from the lower socio-economic background, especially from the slum areas in cities like Pune, are most vulnerable. This should be considered while drafting policies and programmes concerning HIV,” he said. 
,
, Sharma said the study used economic methods such as Principal Component Analysis (PCA) and Standard of Living Index (SLI). Based on these two indices, the study found that families with HIV+ persons are more destitute compared to other families. “This is especially true of households run by HIV+ women. The study revealed that 70% of the sample households managed by women have a middle socio-economic status whereas about 50% of them can be categorised as the ‘poorest of the poor’. In comparison, only 30% of households run by men fit in the category. The reason for this may be that, in general, a woman’s income is less than that of a man,” he said. The study revealed that though anti-retroviral therapy (ART) for treating HIV is free at the public health centres, HIV+ people have to spend from their own pockets on other illnesses and ailments which come with the HIV infection, Sharma said. “The economic burden is more on those who are already poor, and it leads to medical poverty trap. In the analysis, we found that there is a sharp increase of 20% BPL headcounts, when adjusted for out-of-pocket health spending,” he said. 
,
, HIV+ people from the upper and middle socio-economic backgrounds usually opt for private health facilities, which are better, and also because it offers them a privacy. 
,
, Sharma said a comparison between the families surveyed and the city’s non-HIV urban households (surveyed under the national reproductive and child health programme) confirmed that a majority of PLHIV households either came from the lower economic strata of society or had gradually become impoverished over a period of time. According to the study, 36.9% households with HIV+ members had a low standard of living. 
,
, Sanjeevani Kulkarni, coordinator, ,, which treats more than 3,500 , patients from the city and other parts of the country at its ,, said special focus on widowed women diagnosed with HIV is needed. “Around 33% of the total population of HIV infected women belongs to this category. Implementation of policies that address the needs of such sections of society is imperative,” she said. 
,
, 
"
"Updated: Mar 29, 2012, 01:57 IST",HIV workshop for Rajasthan MLAs,"JAIPUR: , in the state on Thursday will take a test to assess their understanding of HIV/AIDS at a sensitisation , to be held at the ,. The workshops will be organised by , on HIV/AIDS (Raj LFA). 

, They will be required to fill up a brief questionnaire on HIV/AIDS at the workshop. “Last year, the forum helped in the framing of appropriate laws and policies to curb the spread of the diseases and cooperated Rajasthan State , Control Society in execution of the third phase of the national AIDS control programme,” a source said. 
,
, Dr NG Bijoy Singh, MLA and Member of , LFA would share his experience and best practices to check the diseases they are following in Manipur. 
,
, 
,
, 
"
"Updated: Mar 31, 2012, 03:08 IST",A new chapter: HIV+ couple set to get married,"JAIPUR: Geeta and Ramesh (names changed), who are getting married on April 1, may seem like any ordinary couple. But they are different, and so is this wedding, as both of them are HIV positive. The marriage will not be a low-key affair and all preparations are being done and being planned well. Invitation cards are also being distributed. The marriage will be solemnized at Aanchal Care Home, where the bride-to-be Geeta resides. 

, Geeta, 22, has the disease for the past two years while Ramesh was infected with HIV four years ago. Ramesh is a sales officer in a private company in Bharatpur. The couple came to know each other through the RNP+ network, which is an , working for people living with HIV/AIDS. 
,
, “The marriage will not only give a new meaning to the lives of the couple but also send out a message that people living with HIV/AIDS are also a part of society. Also, such a marriage will ensure that infection will not spread further,” Prerna Singh, managing director, People’s Trust (the NGO which is organizing the wedding) said. 
,
, Singh added, “Geeta is an orphan and has had a tough life. It will not be good to talk about her past at this happy moment.” 
,
, Ramesh is happy with the decision. He said, “Marriages between those infected with HIV will give them support and encouragement.” This marriage is not the first of its kind in the state. RNP+ president Brijesh Dubey said, “Such marriages were solemnized earlier also. But, this time it is being organized in a big way.” 
,
, Dubey also said that he has been receiving calls from NGOs of other states about this particular wedding. 
,
, 
"
"Updated: Mar 31, 2012, 19:32 IST",HIV infected play football,"
  NEW DELHI: To spread awareness about , and ,, teams from various embassies today played with HIV-affected people in the , - ','.
  
  ,The three-day sports event which started yesterday features 14 teams, including last year's champions United Nations, Team India and Hope Team, teams from Embassies of Denmark, China, Spain, France, Egypt, Saudi Arabia, Indonesia, Netherlands and Israel, and High Commission of Republic of Botswana and Tanzania.
  ,
  ,The Touch of Hope Foundation and The New Delhi United Football Club formed Football4Hope, which is an initiative committed to promote health, healing and hope.
  ,
  ,""The Annual United Cup in 2010 and 2011 were successful events, which brought joy, fun and the spirit of good will among the various missions and embassies of various countries in India,"" said Haroon James, Co-Founder Football4Hope.
  ,
  ,The 2011 United Cup brought together representatives from 16 Embassies and High Commissions.
  ,
  ,The proceeds from the event will be utilised to help establish a Center of Hope in New Delhi where care services would be delivered by dedicated professionals.
  ,
  ,The final will be played on sunday.
 "
"Updated: Apr 2, 2012, 05:36 IST",HIV+ couple shows the way to others," 
, 
, 
, 
, 
"
"Updated: Apr 1, 2012, 10:57 IST",Koraput plans home for HIV positive orphans," 
, 
, 
, 
, 
, 
"
"Updated: Apr 7, 2012, 06:04 IST","Board this train, learn more about HIV"," , The district in-charge minister Jagadish Shettar will inaugurate the expo at 9.30am on Saturday., , Deputy commissioner Darpan Jain said the Red Ribbon Express has eight bogies, of which the exhibition will be held in four bogies. Three bogies will display information on , and the last bogie will disseminate information on National Rural Health Mission (,)., , Counseling will be held for patients in one of the bogies and a training programme will be held for youths, elected representatives of local bodies, teachers and officials. Apart from this, four art teams will stage street plays in the railway station and rural areas. Two art teams will be touring 30 villages a day and stage plays, regarding HIV awareness., , The entry is free and emphasis will be given to educate the rural people on this deadly disease. Jain instructed officials to seek support from NGOs and local organizations in reaching out to the rural crowd. 
"
"Updated: Apr 5, 2012, 07:01 IST",Monetary help for HIV affected," 
, 
"
"Updated: Apr 8, 2012, 04:20 IST,The proposed bill covering HIV-infected people states that testing for AIDS cannot be a pre-requisite for empl... ",Strict law covering HIV-infected people against discrimination soon," , These are some of the path-breaking provisions in a law drafted by the government that provides for stiff punishment for discrimination against those who are HIV-positive and for propagating hatred against the victims of the infection., , The ‘new deal’ for a stigmatized group that is often condemned twice is in the final stage of approval with the Centre finalizing the long-pending , (Prevention & Control) Bill that was caught in differences between ministries of law and health. It lays down inviolable rights for patients and stringent duties for individuals and institutions dealing with them. 
, 
, A judicial order would be the only exception to force an AIDS test on a person apart from “screening purpose” in a blood bank., , The HIV positive persons would finally enjoy guaranteed confidentiality. No person can be compelled to disclose his HIV status (except under a court directive). In a strict deterrent, the law states that if a person reveals the identity of an HIV-positive, as information that is passed on as part of legal proceedings, he could face a fine of up to Rs 1 lakh., , To balance the threat of transmission with stringent non-disclosure law, a doctor can disclose his patient’s HIV-positive status to his partner if he believes there is a risk of infection. However, he would have to guard against such disclosure about a woman if there is apprehension that it can lead to her being abandoned or facing violence., , The ombudsman can impose an initial fine of Rs 10,000, and thereafter Rs 5,000 a day for non-compliance of orders., , To ensure that non-discrimination clause of Act is followed at workplace, every institution with over 100 employees would have to appoint a senior officer to deal with violations of the law. 
"
"Updated: Apr 8, 2012, 05:49 IST",5 more ART centres for HIV patients,"HUBLI: There has been a dip in the number of patients suffering from , in the state. According to project director of the Karnataka State Aids Prevention Society (KSAPS) Salma Fahim, the number of those suffering from the disease has come down from 1.7 per cent of the population to 0.7 per cent in the last one decade. 

, “There are 2.5 lakh people inflicted with HIV in the state. There are 44 ART centres. The state government has sanctioned five more centres to be set up at Sindhanur abd , in Koppal district, Muddebihal in Bijapur district, Shiraguppa in Bellary district and Tiptur,” she said. The , has launched “Targeted intervention for high risk people”, a new project. 
,
, The government has allotted Rs 7.5 crore in the Budget-2012-13 to KSAPS to pay travel allowance to HIV patients. Accordingly, Rs 100 each will be given as travelling fare for patients to visit ART centres and get treatment. 
"
"Updated: Apr 7, 2012, 13:56 IST","Australia, West Indies cricketers raise awareness about HIV and AIDS","
  DUBAI: Cricket players from Australia and the West Indies have taken part in coaching clinics with local children in Barbados to raise awareness and reduce stigma about , and , in cricket-playing countries.
  
  ,The clinics were a part of the ,'s global Think Wise campaign.
  ,
  ,The partnership between the ,, the joint United Nations Programme on HIV/AIDS (,) and the United Nations Children's Fund (,) has been helping reduce stigma and discrimination towards young people living with HIV since 2003.
  ,
  ,The West Indies squad hosted a cricket coaching session at Kensington Oval in Barbados yesterday with a group of children from local schools on the island.
  ,
  ,Adrian Barath, Devendra Bishoo, ,, Narsingh Deonarine and Fidel Edwards provided fielding, bowling and batting practice to the youngsters before participating in a discussion on HIV with them.
  ,
  ,""The children have really enjoyed it and it has been great for us to spend some time with them. They look up to us, so I am happy to be able to use my profile to help them learn about such important issues as HIV and AIDS,"" West Indies captain and all-rounder Darren Sammy said.
  ,
  ,Earlier in the week, Australia, who are currently touring the Caribbean, also hosted a group of children at Kensington Oval before participating in a discussion on HIV with the youngsters.
  ,
  ,Michael Hussey, ,, ,, Michael Beer and , provided bowling and batting practice to the children before Ponting and assistant coach Justin Langer provided fielding coaching.
  ,
  ,""I'm really delighted to have had the opportunity to meet with these children and help them learn more about HIV and AIDS,"" said Hussey. 
  ,
 "
"Updated: Apr 13, 2012, 01:32 IST",Loan sharks block HIV+ man's burial," 
, 
, 
, 
, 
"
"Updated: Apr 14, 2012, 05:58 IST",Stem cells can be tweaked to hunt & kill HIV," , In their latest research, the scientists at California University similarly engineered human blood stem cells and found that they can form mature T cells that can attack HIV in tissues where the virus resides and replicates., , They did so by using a surrogate model, the humanized mouse, in which HIV infection closely resembles the disease and its progression in humans . In a series of tests on the mice’s peripheral blood, plasma and organs conducted two weeks and six weeks after introducing the engineered cells, the scientists found that the number of CD4 “helper” T cells — which become depleted as a result of HIV infection — increased, while levels of HIV in the blood decreased., , CD4 cells are white blood cells that are an important component of immune system , helping to fight off infections . These results indicated that the engineered cells were capable of developing and migrating to the organs to fight infection there, the ‘PLoS Pathogens’ journal reported., , “We believe that this is the first step in developing a more aggressive approach in correcting the defects in the human T cell responses that allow HIV to persist in infected people,” Kitchen said.,  
"
"Updated: Apr 20, 2012, 07:15 IST",Man deserts HIV+ wife in city hospital," 
, 
, 
, 
, 
, 
, 
, 
"
"Updated: Apr 23, 2012, 09:42 IST,The inmate also alleged that her daughter was also manhandled by the warden and her pleas for being taken to t... ","Woman prisoner alleges torture by jail warden, HIV positive inmate"," Honey Sharma was declared a proclaimed offender and could be arrested only in January 2012., , They are involved in over 30 such cases and were also slapped with charges under the , (,) for running an organised crime syndicate., , They were, however, discharged from MCOCA by a sessions court., , She pleaded to the court that she should not be sent back to jail as she fears being tortured and should instead be allowed to visit a doctor at her own expense for she fears contracting AIDS., , The court has called for comments from the jail authorities in this respect. 
"
"Updated: Apr 21, 2012, 04:53 IST",Project to lend help to HIV+ women to fight bias," 
, 
, 
, 
, 
, 
, 
, 
, 
"
"Updated: Apr 23, 2012, 01:22 IST",Warden unleashing HIV attack: Inmate,"NEW DELHI: A , has alleged that the jail warden with the help of , has been torturing her to , from her. ,, who is facing trial in several cases of cheating and forgery, has moved a trial court requesting that she should not be sent back to jail number 6 where she is currently lodged. 

, Filing a petition before CMM Vinod Yadav, Honey Sharma also alleged that she might have contracted ,. She also sought the court’s permission that she be allowed to visit a doctor at her own expense to check it she had contracted AIDS. 
,
, Admitting her plea, CMM Yadav has asked the , authorities to file a reply. 
,
, Lodged in jail for over three months now, Sharma is facing trial in 11 cases. In her plea, she has alleged that she is being tortured by the head warden and warden for money. She told the court that the wardens had “beat her up badly and got the AIDS patient to scratch her with their nails.” She alleged that the she was beaten up for an hour before the deputy superintendent and the jail staff, who remained mute spectators. 
,
, She also alleged that her two-year-old daughter, who lives with her in the jail, was also manhandled by the warden and her pleas for being taken to the hospital were dismissed. 
,
, Sharma, along with her husband Vipin Sharma and five other persons are accused of cheating, forgery, criminal conspiracy under the IPC. 
,
, 
"
"Updated: Apr 23, 2012, 19:28 IST,Suicide among HIV-Postive gays rampant (Thinkstock photos/Getty Images)",Suicide among HIV-Positive gays rampant," 
, 
, 23-year-old tattoo artist Veer (name changed) recently discovered that he was suffering from AIDS. Unable to cope with his rapidly falling health, the lad just stopped taking medicines and finally committed suicide a few days back., , Along with being HIV positive, these two men had another thing in common - both of them were closet gays and hadn't declared their sexuality to their families. So, what needs to be done to contain these suicides in the gay community? We try to find the answers…, , , Film director Onir of films like I AM and My Brother Nikhil fame, who's openly declared his sexuality, says: ""It's the burden of dealing with the dual stigma (of , and HIV), which proves to be their undoing. Gays won't reveal their sexuality without fear till the time Supreme Court gives a ruling in their favour. Meanwhile, sex education will go a long way in educating them about safe sex. ,' support can safeguard them against societal cruelty and mockery, which eggs them on to take the ultimate step. They must not force their kids to get married against their wish. It is enough that their child is happy with a partner of his own choice. This acceptance can lessen such sad incidents!"", , , According to Prince ,, India’s first gay royal to declare his sexuality, being a part of a support group goes a long way in lessening the psychological burden of HIV-inflicted gays. ""If they interact regularly with like-minded people and share their fears, their goals and their woes with other HIV-positive people, they feel much better and stronger from within. But, if they remain closet gays, nobody can help them. There's nobody to hold their hand and wipe their tears when danger signals appear,"" says he. 
, 
, , ""Two years back, I learnt that I was HIV positive, and tried to commit suicide thrice since then. But, whenever I went to jump into a well, the faces of my parents would come in front of me, and I would step back. My parents are now pressurising me to get married, and I am scared of telling them about my homosexuality, as I’m already trying to cope with my HIV."", , , ""I have known for the past four years that I'm HIV positive. Last year, I told my mom about it and she was shocked initially. But now, she's become my biggest support and that helps. Hope, some day I can gather enough guts to tell her about my homosexuality too!"", , , ""I'm married and have a two-year-old daughter too. Barely 15 days back, I learnt about my HIV status and was scared to death. On, the counsellor's advice, I had to tell my wife about it. She wept and threatened to leave me, but finally agreed to stay on. I don't think I will be able to tell her about my homosexuality now because I'm scared that she’ll leave me!"" 
"
"Updated: Apr 30, 2012, 03:46 IST",Trusts set up auction for benefit of HIV+ children," 
, 
, 
, 
, 
, 
, 
, 
, 
, 
"
"Updated: May 6, 2012, 03:55 IST","HIV positive convict seeks mercy killing, alleges discrimination"," , C Periyasamy alias , of Pudhuchatram in Namakkal district is a murder convict and serving life term in the Salem central prison. On Saturday, he was taken to Salem Government Hospital for regular health check-up, along with two others serving life sentences. Periyasamy alleged that he has been denied proper food and medicine in jail and he has decided to end his life. ""I am a HIV positive patient and I have to take antiretroviral medicine. I don't get proper treatment or nutritious food in jail,"" he said., , His lawyer, R Partiban, confirmed that Periyasamy has sent a letter to the President seeking mercy killing. He also alleged that the jail authorities refused to even implement court orders. ""As Periyasamy is living with HIV, the court has asked the jail authorities to provide him nutritional food and proper treatment,"" Partiban said. He said Periyasamy was given such facilities in Coimbatore central prison and but has been denied the same in the Salem prison., , Prison officials said Periyasamy was arrested in a murder case and sent to the Coimbatore central prison on April 12, 2003. He was transferred to the Salem prison on July 3, 2011 for administrative reasons., , Jail superintendent S Parameswaran denied the allegations. ""As per the recommendations of the medical experts, Periyasamy is being provided nutritious food including egg and chicken and medicines as prescribed by TB hospital at Tambaram Sanatorium near Chennai. But the prisoner demands food from outside the jail like fresh beef,"" he said. After the health check-up at GH on Saturday, Periyasamy was taken back to the Salem prison. 
"
"Updated: May 5, 2012, 05:02 IST",HIV+ couple struggle for power connection,"CHENNAI: Every day since January, R Kantha, a 36-year-old HIV positive woman has visited the area office of the , (TNEB) in Chengalpet. And every day she has received the same one-line reply: The connection will be given soon. 

, Kantha, her HIV-positive husband , and her two daughters spend the evenings in the dark in their newly built house on Periyar Street, Indira Nagar in Thirumani village in Chengalpet. ""My children are scared at night without power,"" Kantha said. 
,
, She applied for electricity connection on January 25. She paid around Rs 3,000 for various charges including a caution deposit for the electricity meter. She got a no-objection certificate (NOC) from the gram panchayat in January. When , (Chengelpet division) A R Mascurnas held a grievance meeting on April 4, hers was among the 17 cases listed as top priority. But, nothing has happened. 
,
, Kantha and her husband Radhakrishnan, have been targets of social discrimination for the past few years when Radhakrishan set up an office in Chengelpet for persons affected with HIV in Kancheepuram district. In less than a year, the couple had to shift at least five rented premises after house owners found they are HIV positive. 
,
, Finally when they decided to build a house on a government allotted plot of six cents, a group of residents set fire to the half-built structure in January 2011. That threw them out on the street, again. Not giving up, they saved and borrowed from a few friends and relatives to build the house for which they are begging for an electricity connection. 
,
, TNEB officials said the connection could not be given because of shortage of manpower and equipment. ""Recently we got approval for electricity poles to give 17 new connections, but are yet to get them. Once we get the materials, power connections will be given,"" said Baskar, junior engineer of TNEB Chengelpet division. 
,
, ""We felt sad for the couple, who struggled a lot to build a house on their own. Like other applicants, they too deserve power connection,"" said S R Arumugam, president, Thirumani village panchayat. 
"
"Updated: May 8, 2012, 01:52 IST",'Orphaned HIV+ kids discriminated at all levels'," 
, 
, 
, 
, 
"
,,"The , has asked all life and general insurance companies to put in place an underwriting policy on health insurance for people suffering from human immunodeficiency virus-infected patients. This is for the first time Irda has issued guidelines on covering this segment. The guideline will be effective from October 2012.,In India nearly 5.7 million people are infected with HIV virus.,In a exposure draft issued today, the regulator said that policy should indicate the eligibility criteria. The regulator said that underwriting policy would address persons who are not yet showing , symptoms but are in stage 1 or 2 of HIV infection. The regulations should comply with the treatment protocols of the medication following a very strict timeline.,The policy should provide clear guidelines on risks that would be denied. In addition, insurers will have to provide details of loadings at different stages of disease.,For insurers are not allowed to reject claims for those who are HIV negative at beginning and subsequently found to be HIV positive. On renewal, insurers can load it accordingly.,Insurers can state HIV or AIDS as critical illness, providing as a rider with a lump sum on becoming HIV positive, cover AIDS death as an insured even under health insurance policy and cover them under group schemes to cater to various segments of population. Companies have to provide comments in 30 days.,Only one insurance company- Chennai-based Star Health and Allied Insurance Company has a policy under group Insurance cover for the HIV positive patients."
